date,warehouse_id,product_id,on_hand_qty,demand_qty,receipt_qty,stockout_flag,inventory_value
2025-03-10,W01,P0045,518,7,53,0,57125.04
2025-03-11,W01,P0045,545,6,33,0,60102.6
2025-03-12,W01,P0045,530,15,0,0,58448.4
2025-03-13,W01,P0045,605,5,80,0,66719.4
2025-03-14,W01,P0045,677,8,80,0,74659.56
2025-03-15,W01,P0045,671,6,0,0,73997.88
2025-03-16,W01,P0045,660,11,0,0,72784.8
2025-03-17,W01,P0045,700,9,49,0,77196.0
2025-03-18,W01,P0045,687,13,0,0,75762.36
2025-03-19,W01,P0045,676,11,0,0,74549.28
2025-03-20,W01,P0045,661,15,0,0,72895.08
2025-03-21,W01,P0045,647,14,0,0,71351.16
2025-03-22,W01,P0045,637,10,0,0,70248.36
2025-03-23,W01,P0045,625,12,0,0,68925.0
2025-03-24,W01,P0045,617,8,0,0,68042.76
2025-03-25,W01,P0045,607,10,0,0,66939.96
2025-03-26,W01,P0045,594,13,0,0,65506.32
2025-03-27,W01,P0045,581,13,0,0,64072.68
2025-03-28,W01,P0045,567,14,0,0,62528.76
2025-03-29,W01,P0045,613,6,52,0,67601.64
2025-03-30,W01,P0045,613,0,0,0,67601.64
2025-03-31,W01,P0045,604,9,0,0,66609.12
2025-04-01,W01,P0045,599,5,0,0,66057.72
2025-04-02,W01,P0045,591,8,0,0,65175.48
2025-04-03,W01,P0045,574,17,0,0,63300.72
2025-04-04,W01,P0045,556,18,0,0,61315.68
2025-04-05,W01,P0045,648,5,97,0,71461.44
2025-04-06,W01,P0045,630,18,0,0,69476.4
2025-04-07,W01,P0045,627,3,0,0,69145.56
2025-04-08,W01,P0045,616,11,0,0,67932.48
2025-04-09,W01,P0045,607,9,0,0,66939.96
2025-04-10,W01,P0045,602,5,0,0,66388.56
2025-04-11,W01,P0045,593,9,0,0,65396.04
2025-04-12,W01,P0045,588,5,0,0,64844.64
2025-04-13,W01,P0045,583,5,0,0,64293.24
2025-04-14,W01,P0045,576,7,0,0,63521.28
2025-04-15,W01,P0045,559,17,0,0,61646.520000000004
2025-04-16,W01,P0045,545,14,0,0,60102.6
2025-04-17,W01,P0045,530,15,0,0,58448.4
2025-04-18,W01,P0045,527,3,0,0,58117.56
2025-04-19,W01,P0045,521,6,0,0,57455.88
2025-04-20,W01,P0045,510,11,0,0,56242.8
2025-04-21,W01,P0045,502,8,0,0,55360.56
2025-04-22,W01,P0045,534,16,48,0,58889.520000000004
2025-04-23,W01,P0045,584,4,54,0,64403.520000000004
2025-04-24,W01,P0045,608,13,37,0,67050.24
2025-04-25,W01,P0045,607,1,0,0,66939.96
2025-04-26,W01,P0045,605,2,0,0,66719.4
2025-04-27,W01,P0045,594,11,0,0,65506.32
2025-04-28,W01,P0045,618,19,43,0,68153.04
2025-04-29,W01,P0045,603,15,0,0,66498.84
2025-04-30,W01,P0045,596,7,0,0,65726.88
2025-05-01,W01,P0045,590,6,0,0,65065.2
2025-05-02,W01,P0045,579,11,0,0,63852.12
2025-05-03,W01,P0045,567,12,0,0,62528.76
2025-05-04,W01,P0045,562,5,0,0,61977.36
2025-05-05,W01,P0045,558,4,0,0,61536.24
2025-05-06,W01,P0045,549,9,0,0,60543.72
2025-05-07,W01,P0045,545,4,0,0,60102.6
2025-05-08,W01,P0045,530,15,0,0,58448.4
2025-05-09,W01,P0045,615,13,98,0,67822.2
2025-05-10,W01,P0045,601,14,0,0,66278.28
2025-05-11,W01,P0045,675,14,88,0,74439.0
2025-05-12,W01,P0045,655,20,0,0,72233.4
2025-05-13,W01,P0045,685,3,33,0,75541.8
2025-05-14,W01,P0045,673,12,0,0,74218.44
2025-05-15,W01,P0045,669,4,0,0,73777.32
2025-05-16,W01,P0045,704,10,45,0,77637.12
2025-05-17,W01,P0045,740,6,42,0,81607.2
2025-05-18,W01,P0045,727,13,0,0,80173.56
2025-05-19,W01,P0045,722,5,0,0,79622.16
2025-05-20,W01,P0045,722,0,0,0,79622.16
2025-05-21,W01,P0045,722,0,0,0,79622.16
2025-05-22,W01,P0045,709,13,0,0,78188.52
2025-05-23,W01,P0045,700,9,0,0,77196.0
2025-05-24,W01,P0045,687,13,0,0,75762.36
2025-05-25,W01,P0045,679,8,0,0,74880.12
2025-05-26,W01,P0045,677,2,0,0,74659.56
2025-05-27,W01,P0045,736,6,65,0,81166.08
2025-05-28,W01,P0045,787,14,65,0,86790.36
2025-05-29,W01,P0045,787,0,0,0,86790.36
2025-05-30,W01,P0045,781,6,0,0,86128.68000000001
2025-05-31,W01,P0045,761,20,0,0,83923.08
2025-06-01,W01,P0045,842,8,89,0,92855.76
2025-06-02,W01,P0045,826,16,0,0,91091.28
2025-06-03,W01,P0045,810,16,0,0,89326.8
2025-06-04,W01,P0045,804,6,0,0,88665.12
2025-06-05,W01,P0045,798,6,0,0,88003.44
2025-06-06,W01,P0045,880,5,87,0,97046.4
2025-06-07,W01,P0045,875,5,0,0,96495.0
2025-06-08,W01,P0045,874,1,0,0,96384.72
2025-06-09,W01,P0045,864,10,0,0,95281.92
2025-06-10,W01,P0045,856,8,0,0,94399.68000000001
2025-06-11,W01,P0045,890,14,48,0,98149.2
2025-06-12,W01,P0045,884,6,0,0,97487.52
2025-06-13,W01,P0045,871,13,0,0,96053.88
2025-06-14,W01,P0045,862,9,0,0,95061.36
2025-06-15,W01,P0045,857,5,0,0,94509.96
2025-06-16,W01,P0045,844,13,0,0,93076.32
2025-06-17,W01,P0045,835,9,0,0,92083.8
2025-06-18,W01,P0045,821,14,0,0,90539.88
2025-06-19,W01,P0045,809,12,0,0,89216.52
2025-06-20,W01,P0045,830,13,34,0,91532.4
2025-06-21,W01,P0045,819,11,0,0,90319.32
2025-06-22,W01,P0045,802,17,0,0,88444.56
2025-06-23,W01,P0045,799,3,0,0,88113.72
2025-06-24,W01,P0045,786,13,0,0,86680.08
2025-06-25,W01,P0045,814,0,28,0,89767.92
2025-06-26,W01,P0045,874,10,70,0,96384.72
2025-06-27,W01,P0045,871,3,0,0,96053.88
2025-06-28,W01,P0045,865,6,0,0,95392.2
2025-06-29,W01,P0045,848,17,0,0,93517.44
2025-06-30,W01,P0045,834,14,0,0,91973.52
2025-07-01,W01,P0045,859,15,40,0,94730.52
2025-07-02,W01,P0045,847,12,0,0,93407.16
2025-07-03,W01,P0045,836,11,0,0,92194.08
2025-07-04,W01,P0045,829,7,0,0,91422.12
2025-07-05,W01,P0045,814,15,0,0,89767.92
2025-07-06,W01,P0045,799,15,0,0,88113.72
2025-07-07,W01,P0045,783,16,0,0,86349.24
2025-07-08,W01,P0045,778,5,0,0,85797.84
2025-07-09,W01,P0045,770,8,0,0,84915.6
2025-07-10,W01,P0045,768,2,0,0,84695.04000000001
2025-07-11,W01,P0045,762,6,0,0,84033.36
2025-07-12,W01,P0045,793,5,36,0,87452.04000000001
2025-07-13,W01,P0045,881,6,94,0,97156.68000000001
2025-07-14,W01,P0045,870,11,0,0,95943.6
2025-07-15,W01,P0045,962,3,95,0,106089.36
2025-07-16,W01,P0045,950,12,0,0,104766.0
2025-07-17,W01,P0045,950,0,0,0,104766.0
2025-07-18,W01,P0045,945,5,0,0,104214.6
2025-07-19,W01,P0045,936,9,0,0,103222.08
2025-07-20,W01,P0045,1002,14,80,0,110500.56
2025-07-21,W01,P0045,1001,1,0,0,110390.28
2025-07-22,W01,P0045,992,9,0,0,109397.76
2025-07-23,W01,P0045,985,7,0,0,108625.8
2025-07-24,W01,P0045,1029,5,49,0,113478.12
2025-07-25,W01,P0045,1065,3,39,0,117448.2
2025-07-26,W01,P0045,1057,8,0,0,116565.96
2025-07-27,W01,P0045,1049,8,0,0,115683.72
2025-07-28,W01,P0045,1043,6,0,0,115022.04000000001
2025-07-29,W01,P0045,1096,11,64,0,120866.88
2025-07-30,W01,P0045,1085,11,0,0,119653.8
2025-07-31,W01,P0045,1079,6,0,0,118992.12
2025-08-01,W01,P0045,1063,16,0,0,117227.64
2025-08-02,W01,P0045,1054,9,0,0,116235.12
2025-08-03,W01,P0045,1049,5,0,0,115683.72
2025-08-04,W01,P0045,1141,3,95,0,125829.48
2025-08-05,W01,P0045,1135,6,0,0,125167.8
2025-08-06,W01,P0045,1128,7,0,0,124395.84
2025-08-07,W01,P0045,1118,10,0,0,123293.04000000001
2025-08-08,W01,P0045,1108,10,0,0,122190.24
2025-08-09,W01,P0045,1094,14,0,0,120646.32
2025-08-10,W01,P0045,1153,8,67,0,127152.84
2025-08-11,W01,P0045,1145,8,0,0,126270.6
2025-08-12,W01,P0045,1157,15,27,0,127593.96
2025-08-13,W01,P0045,1146,11,0,0,126380.88
2025-08-14,W01,P0045,1139,7,0,0,125608.92
2025-08-15,W01,P0045,1174,9,44,0,129468.72
2025-08-16,W01,P0045,1263,8,97,0,139283.64
2025-08-17,W01,P0045,1250,13,0,0,137850.0
2025-08-18,W01,P0045,1243,7,0,0,137078.04
2025-08-19,W01,P0045,1325,3,85,0,146121.0
2025-08-20,W01,P0045,1320,5,0,0,145569.6
2025-08-21,W01,P0045,1368,25,73,0,150863.04
2025-08-22,W01,P0045,1354,14,0,0,149319.12
2025-08-23,W01,P0045,1346,8,0,0,148436.88
2025-08-24,W01,P0045,1345,1,0,0,148326.6
2025-08-25,W01,P0045,1370,6,31,0,151083.6
2025-08-26,W01,P0045,1356,14,0,0,149539.68
2025-08-27,W01,P0045,1354,2,0,0,149319.12
2025-08-28,W01,P0045,1341,13,0,0,147885.48
2025-08-29,W01,P0045,1397,6,62,0,154061.16
2025-08-30,W01,P0045,1392,5,0,0,153509.76
2025-08-31,W01,P0045,1384,8,0,0,152627.52
2025-09-01,W01,P0045,1378,6,0,0,151965.84
2025-09-02,W01,P0045,1360,18,0,0,149980.8
2025-09-03,W01,P0045,1351,9,0,0,148988.28
2025-09-04,W01,P0045,1400,9,58,0,154392.0
2025-09-05,W01,P0045,1436,13,49,0,158362.08
2025-09-06,W01,P0045,1427,9,0,0,157369.56
2025-09-07,W01,P0045,1450,14,37,0,159906.0
2025-09-08,W01,P0045,1441,9,0,0,158913.48
2025-09-09,W01,P0045,1427,14,0,0,157369.56
2025-09-10,W01,P0045,1415,12,0,0,156046.2
2025-09-11,W01,P0045,1408,7,0,0,155274.24
2025-09-12,W01,P0045,1486,5,83,0,163876.08
2025-09-13,W01,P0045,1481,5,0,0,163324.68
2025-09-14,W01,P0045,1474,7,0,0,162552.72
2025-09-15,W01,P0045,1466,8,0,0,161670.48
2025-09-16,W01,P0045,1462,4,0,0,161229.36000000002
2025-09-17,W01,P0045,1452,10,0,0,160126.56
2025-09-18,W01,P0045,1519,9,76,0,167515.32
2025-09-19,W01,P0045,1515,4,0,0,167074.2
2025-09-20,W01,P0045,1506,9,0,0,166081.68
2025-09-21,W01,P0045,1521,5,20,0,167735.88
2025-09-22,W01,P0045,1598,8,85,0,176227.44
2025-09-23,W01,P0045,1666,14,82,0,183726.48
2025-09-24,W01,P0045,1656,10,0,0,182623.68
2025-09-25,W01,P0045,1643,13,0,0,181190.04
2025-09-26,W01,P0045,1684,3,44,0,185711.52
2025-09-27,W01,P0045,1683,1,0,0,185601.24
2025-09-28,W01,P0045,1674,9,0,0,184608.72
2025-09-29,W01,P0045,1663,11,0,0,183395.64
2025-09-30,W01,P0045,1642,21,0,0,181079.76
2025-10-01,W01,P0045,1637,5,0,0,180528.36000000002
2025-10-02,W01,P0045,1618,19,0,0,178433.04
2025-10-03,W01,P0045,1702,14,98,0,187696.56
2025-10-04,W01,P0045,1693,9,0,0,186704.04
2025-10-05,W01,P0045,1682,11,0,0,185490.96
2025-10-06,W01,P0045,1669,13,0,0,184057.32
2025-10-07,W01,P0045,1656,13,0,0,182623.68
2025-10-08,W01,P0045,1644,12,0,0,181300.32
2025-10-09,W01,P0045,1686,11,53,0,185932.08000000002
2025-10-10,W01,P0045,1742,6,62,0,192107.76
2025-10-11,W01,P0045,1730,12,0,0,190784.4
2025-10-12,W01,P0045,1716,14,0,0,189240.48
2025-10-13,W01,P0045,1714,2,0,0,189019.92
2025-10-14,W01,P0045,1700,14,0,0,187476.0
2025-10-15,W01,P0045,1689,11,0,0,186262.92
2025-10-16,W01,P0045,1676,13,0,0,184829.28
2025-10-17,W01,P0045,1661,15,0,0,183175.08000000002
2025-10-18,W01,P0045,1741,10,90,0,191997.48
2025-10-19,W01,P0045,1741,0,0,0,191997.48
2025-10-20,W01,P0045,1778,9,46,0,196077.84
2025-10-21,W01,P0045,1770,8,0,0,195195.6
2025-10-22,W01,P0045,1760,10,0,0,194092.8
2025-10-23,W01,P0045,1754,6,0,0,193431.12
2025-10-24,W01,P0045,1739,15,0,0,191776.92
2025-10-25,W01,P0045,1756,11,28,0,193651.68
2025-10-26,W01,P0045,1814,7,65,0,200047.92
2025-10-27,W01,P0045,1803,11,0,0,198834.84
2025-10-28,W01,P0045,1889,3,89,0,208318.92
2025-10-29,W01,P0045,1878,11,0,0,207105.84
2025-10-30,W01,P0045,1884,14,20,0,207767.52
2025-10-31,W01,P0045,1877,7,0,0,206995.56
2025-11-01,W01,P0045,1900,10,33,0,209532.0
2025-11-02,W01,P0045,1882,18,0,0,207546.96
2025-11-03,W01,P0045,1886,19,23,0,207988.08000000002
2025-11-04,W01,P0045,1957,20,91,0,215817.96
2025-11-05,W01,P0045,1945,12,0,0,214494.6
2025-11-06,W01,P0045,1937,8,0,0,213612.36000000002
2025-11-07,W01,P0045,1929,8,0,0,212730.12
2025-11-08,W01,P0045,1903,26,0,0,209862.84
2025-11-09,W01,P0045,1888,15,0,0,208208.64
2025-11-10,W01,P0045,1880,8,0,0,207326.4
2025-11-11,W01,P0045,1861,19,0,0,205231.08000000002
2025-11-12,W01,P0045,1842,19,0,0,203135.76
2025-11-13,W01,P0045,1829,13,0,0,201702.12
2025-11-14,W01,P0045,1822,7,0,0,200930.16
2025-11-15,W01,P0045,1810,12,0,0,199606.8
2025-11-16,W01,P0045,1789,21,0,0,197290.92
2025-11-17,W01,P0045,1775,14,0,0,195747.0
2025-11-18,W01,P0045,1759,16,0,0,193982.52
2025-11-19,W01,P0045,1742,17,0,0,192107.76
2025-11-20,W01,P0045,1805,15,78,0,199055.4
2025-11-21,W01,P0045,1790,15,0,0,197401.2
2025-11-22,W01,P0045,1776,14,0,0,195857.28
2025-11-23,W01,P0045,1764,12,0,0,194533.92
2025-11-24,W01,P0045,1750,14,0,0,192990.0
2025-11-25,W01,P0045,1739,11,0,0,191776.92
2025-11-26,W01,P0045,1783,11,55,0,196629.24
2025-11-27,W01,P0045,1766,17,0,0,194754.48
2025-11-28,W01,P0045,1846,11,91,0,203576.88
2025-11-29,W01,P0045,1897,17,68,0,209201.16
2025-11-30,W01,P0045,1916,17,36,0,211296.48
2025-12-01,W01,P0045,1997,12,93,0,220229.16
2025-12-02,W01,P0045,1979,18,0,0,218244.12
2025-12-03,W01,P0045,1967,12,0,0,216920.76
2025-12-04,W01,P0045,1948,19,0,0,214825.44
2025-12-05,W01,P0045,1932,16,0,0,213060.96
2025-12-06,W01,P0045,1922,10,0,0,211958.16
2025-12-07,W01,P0045,1906,16,0,0,210193.68
2025-12-08,W01,P0045,1888,18,0,0,208208.64
2025-12-09,W01,P0045,1875,13,0,0,206775.0
2025-12-10,W01,P0045,1926,17,68,0,212399.28
2025-12-11,W01,P0045,2007,17,98,0,221331.96
2025-12-12,W01,P0045,1991,16,0,0,219567.48
2025-12-13,W01,P0045,1977,14,0,0,218023.56
2025-12-14,W01,P0045,2058,8,89,0,226956.24
2025-12-15,W01,P0045,2048,10,0,0,225853.44
2025-12-16,W01,P0045,2086,14,52,0,230044.08000000002
2025-12-17,W01,P0045,2115,8,37,0,233242.2
2025-12-18,W01,P0045,2099,16,0,0,231477.72
2025-12-19,W01,P0045,2076,23,0,0,228941.28
2025-12-20,W01,P0045,2060,16,0,0,227176.8
2025-12-21,W01,P0045,2094,23,57,0,230926.32
2025-12-22,W01,P0045,2149,24,79,0,236991.72
2025-12-23,W01,P0045,2137,12,0,0,235668.36000000002
2025-12-24,W01,P0045,2117,20,0,0,233462.76
2025-12-25,W01,P0045,2101,16,0,0,231698.28
2025-12-26,W01,P0045,2083,18,0,0,229713.24
2025-12-27,W01,P0045,2095,10,22,0,231036.6
2025-12-28,W01,P0045,2087,8,0,0,230154.36000000002
2025-12-29,W01,P0045,2142,20,75,0,236219.76
2025-12-30,W01,P0045,2121,21,0,0,233903.88
2025-12-31,W01,P0045,2122,22,23,0,234014.16
2025-01-01,W01,P0048,119,15,0,0,74872.42
2025-01-02,W01,P0048,106,13,0,0,66693.08
2025-01-03,W01,P0048,106,0,0,0,66693.08
2025-01-04,W01,P0048,94,12,0,0,59142.92
2025-01-05,W01,P0048,86,8,0,0,54109.479999999996
2025-01-06,W01,P0048,79,7,0,0,49705.219999999994
2025-01-07,W01,P0048,68,11,0,0,42784.24
2025-01-08,W01,P0048,68,0,0,0,42784.24
2025-01-09,W01,P0048,49,19,0,0,30829.819999999996
2025-01-10,W01,P0048,31,18,0,0,19504.579999999998
2025-01-11,W01,P0048,26,5,0,0,16358.679999999998
2025-01-12,W01,P0048,5,21,0,0,3145.8999999999996
2025-01-13,W01,P0048,64,4,63,0,40267.52
2025-01-14,W01,P0048,51,13,0,0,32088.179999999997
2025-01-15,W01,P0048,119,15,83,0,74872.42
2025-01-16,W01,P0048,112,7,0,0,70468.15999999999
2025-01-17,W01,P0048,108,4,0,0,67951.43999999999
2025-01-18,W01,P0048,92,16,0,0,57884.56
2025-01-19,W01,P0048,160,7,75,0,100668.79999999999
2025-01-20,W01,P0048,153,7,0,0,96264.54
2025-01-21,W01,P0048,149,4,0,0,93747.81999999999
2025-01-22,W01,P0048,144,5,0,0,90601.92
2025-01-23,W01,P0048,136,8,0,0,85568.48
2025-01-24,W01,P0048,136,0,0,0,85568.48
2025-01-25,W01,P0048,121,15,0,0,76130.78
2025-01-26,W01,P0048,177,12,68,0,111364.85999999999
2025-01-27,W01,P0048,168,9,0,0,105702.23999999999
2025-01-28,W01,P0048,151,17,0,0,95006.18
2025-01-29,W01,P0048,139,12,0,0,87456.01999999999
2025-01-30,W01,P0048,128,11,0,0,80535.04
2025-01-31,W01,P0048,111,17,0,0,69838.98
2025-02-01,W01,P0048,103,8,0,0,64805.53999999999
2025-02-02,W01,P0048,89,14,0,0,55997.02
2025-02-03,W01,P0048,138,8,57,0,86826.84
2025-02-04,W01,P0048,134,4,0,0,84310.12
2025-02-05,W01,P0048,122,12,0,0,76759.95999999999
2025-02-06,W01,P0048,113,9,0,0,71097.34
2025-02-07,W01,P0048,96,17,0,0,60401.28
2025-02-08,W01,P0048,91,5,0,0,57255.38
2025-02-09,W01,P0048,87,4,0,0,54738.659999999996
2025-02-10,W01,P0048,82,5,0,0,51592.759999999995
2025-02-11,W01,P0048,78,4,0,0,49076.03999999999
2025-02-12,W01,P0048,141,12,75,0,88714.37999999999
2025-02-13,W01,P0048,135,6,0,0,84939.29999999999
2025-02-14,W01,P0048,117,18,0,0,73614.06
2025-02-15,W01,P0048,108,9,0,0,67951.43999999999
2025-02-16,W01,P0048,173,12,77,0,108848.13999999998
2025-02-17,W01,P0048,187,7,21,0,117656.65999999999
2025-02-18,W01,P0048,185,2,0,0,116398.29999999999
2025-02-19,W01,P0048,263,13,91,0,165474.34
2025-02-20,W01,P0048,251,12,0,0,157924.18
2025-02-21,W01,P0048,308,15,72,0,193787.43999999997
2025-02-22,W01,P0048,334,9,35,0,210146.12
2025-02-23,W01,P0048,316,18,0,0,198820.87999999998
2025-02-24,W01,P0048,308,8,0,0,193787.43999999997
2025-02-25,W01,P0048,295,13,0,0,185608.09999999998
2025-02-26,W01,P0048,288,7,0,0,181203.84
2025-02-27,W01,P0048,282,6,0,0,177428.75999999998
2025-02-28,W01,P0048,268,14,0,0,168620.24
2025-03-01,W01,P0048,257,11,0,0,161699.25999999998
2025-03-02,W01,P0048,241,16,0,0,151632.37999999998
2025-03-03,W01,P0048,232,9,0,0,145969.75999999998
2025-03-04,W01,P0048,227,5,0,0,142823.86
2025-03-05,W01,P0048,295,11,79,0,185608.09999999998
2025-03-06,W01,P0048,285,10,0,0,179316.3
2025-03-07,W01,P0048,278,7,0,0,174912.03999999998
2025-03-08,W01,P0048,325,6,53,0,204483.49999999997
2025-03-09,W01,P0048,369,7,51,0,232167.41999999998
2025-03-10,W01,P0048,395,11,37,0,248526.09999999998
2025-03-11,W01,P0048,393,2,0,0,247267.74
2025-03-12,W01,P0048,448,10,65,0,281872.63999999996
2025-03-13,W01,P0048,440,8,0,0,276839.19999999995
2025-03-14,W01,P0048,433,7,0,0,272434.94
2025-03-15,W01,P0048,426,7,0,0,268030.68
2025-03-16,W01,P0048,495,13,82,0,311444.1
2025-03-17,W01,P0048,484,11,0,0,304523.12
2025-03-18,W01,P0048,542,15,73,0,341015.56
2025-03-19,W01,P0048,590,1,49,0,371216.19999999995
2025-03-20,W01,P0048,584,6,0,0,367441.12
2025-03-21,W01,P0048,574,10,0,0,361149.31999999995
2025-03-22,W01,P0048,556,18,0,0,349824.07999999996
2025-03-23,W01,P0048,548,8,0,0,344790.63999999996
2025-03-24,W01,P0048,539,9,0,0,339128.01999999996
2025-03-25,W01,P0048,531,8,0,0,334094.57999999996
2025-03-26,W01,P0048,519,12,0,0,326544.42
2025-03-27,W01,P0048,511,8,0,0,321510.98
2025-03-28,W01,P0048,504,7,0,0,317106.72
2025-03-29,W01,P0048,493,11,0,0,310185.74
2025-03-30,W01,P0048,483,10,0,0,303893.94
2025-03-31,W01,P0048,472,11,0,0,296972.95999999996
2025-04-01,W01,P0048,456,16,0,0,286906.07999999996
2025-04-02,W01,P0048,445,11,0,0,279985.1
2025-04-03,W01,P0048,437,8,0,0,274951.66
2025-04-04,W01,P0048,431,6,0,0,271176.57999999996
2025-04-05,W01,P0048,422,9,0,0,265513.95999999996
2025-04-06,W01,P0048,416,6,0,0,261738.87999999998
2025-04-07,W01,P0048,497,17,98,0,312702.45999999996
2025-04-08,W01,P0048,490,7,0,0,308298.19999999995
2025-04-09,W01,P0048,482,8,0,0,303264.75999999995
2025-04-10,W01,P0048,472,10,0,0,296972.95999999996
2025-04-11,W01,P0048,464,8,0,0,291939.51999999996
2025-04-12,W01,P0048,454,10,0,0,285647.72
2025-04-13,W01,P0048,444,10,0,0,279355.92
2025-04-14,W01,P0048,441,3,0,0,277468.38
2025-04-15,W01,P0048,486,3,48,0,305781.48
2025-04-16,W01,P0048,566,4,84,0,356115.87999999995
2025-04-17,W01,P0048,557,9,0,0,350453.25999999995
2025-04-18,W01,P0048,621,4,68,0,390720.77999999997
2025-04-19,W01,P0048,622,19,20,0,391349.95999999996
2025-04-20,W01,P0048,605,17,0,0,380653.89999999997
2025-04-21,W01,P0048,591,14,0,0,371845.37999999995
2025-04-22,W01,P0048,676,7,92,0,425325.68
2025-04-23,W01,P0048,662,14,0,0,416517.16
2025-04-24,W01,P0048,659,3,0,0,414629.62
2025-04-25,W01,P0048,657,2,0,0,413371.25999999995
2025-04-26,W01,P0048,638,19,0,0,401416.83999999997
2025-04-27,W01,P0048,628,10,0,0,395125.04
2025-04-28,W01,P0048,618,10,0,0,388833.24
2025-04-29,W01,P0048,611,7,0,0,384428.98
2025-04-30,W01,P0048,601,10,0,0,378137.18
2025-05-01,W01,P0048,584,17,0,0,367441.12
2025-05-02,W01,P0048,652,14,82,0,410225.36
2025-05-03,W01,P0048,642,10,0,0,403933.55999999994
2025-05-04,W01,P0048,632,10,0,0,397641.75999999995
2025-05-05,W01,P0048,620,12,0,0,390091.6
2025-05-06,W01,P0048,615,5,0,0,386945.69999999995
2025-05-07,W01,P0048,694,5,84,0,436650.92
2025-05-08,W01,P0048,688,6,0,0,432875.83999999997
2025-05-09,W01,P0048,679,9,0,0,427213.22
2025-05-10,W01,P0048,674,5,0,0,424067.31999999995
2025-05-11,W01,P0048,657,17,0,0,413371.25999999995
2025-05-12,W01,P0048,751,4,98,0,472514.17999999993
2025-05-13,W01,P0048,748,3,0,0,470626.63999999996
