po_id,order_date,supplier_id,product_id,warehouse_id,ordered_qty,received_qty,unit_cost,freight_cost,promised_date,actual_delivery_date,defect_qty
PO000121,2025-05-20,S005,P0023,W03,161,158,555.36,4177.95,2025-06-09,2025-06-11,1
PO000122,2024-10-22,S019,P0018,W01,43,43,144.14,150.22,2024-10-29,2024-11-09,1
PO000123,2025-10-29,S014,P0054,W01,124,116,43.24,400.96,2025-12-02,2025-11-29,2
PO000124,2024-12-12,S006,P0102,W02,38,37,555.41,910.86,2024-12-18,2024-12-19,1
PO000125,2024-04-04,S018,P0114,W03,10,10,908.2,321.2,2024-04-20,2024-04-20,1
PO000126,2024-03-28,S006,P0058,W01,39,38,769.37,2065.81,2024-04-03,2024-03-31,1
PO000127,2025-12-12,S020,P0064,W01,179,177,889.75,8895.59,2025-12-31,2025-12-28,0
PO000128,2024-04-08,S001,P0068,W01,204,198,942.82,8002.35,2024-05-06,2024-05-06,3
PO000129,2025-11-23,S015,P0059,W02,133,128,306.74,1521.9,2025-12-10,2025-12-12,2
PO000130,2024-07-22,S015,P0078,W02,193,188,96.99,1282.34,2024-08-08,2024-08-05,1
PO000131,2024-03-09,S010,P0033,W03,93,91,891.43,2817.53,2024-04-04,2024-04-01,1
PO000132,2024-08-10,S018,P0065,W01,12,12,163.06,81.87,2024-08-26,2024-08-23,0
PO000133,2025-03-25,S010,P0074,W03,199,194,305.61,2384.51,2025-04-20,2025-04-17,3
PO000134,2024-11-08,S017,P0068,W03,161,160,942.82,11123.0,2024-12-11,2024-12-23,6
PO000135,2025-07-28,S006,P0117,W01,146,142,31.42,310.48,2025-08-03,2025-07-31,2
PO000136,2025-03-22,S015,P0090,W02,20,20,300.32,341.35,2025-04-08,2025-04-05,0
PO000137,2024-10-19,S019,P0089,W01,211,207,193.04,2044.51,2024-10-26,2024-10-23,1
PO000138,2025-04-08,S025,P0097,W02,21,19,132.18,124.94,2025-05-04,2025-05-01,1
PO000139,2025-12-11,S010,P0064,W03,8,8,889.75,151.59,2026-01-06,2026-01-03,0
PO000140,2024-10-28,S012,P0037,W02,21,21,320.34,463.49,2024-11-25,2024-11-24,0
PO000141,2024-04-22,S012,P0065,W01,207,199,163.06,2484.53,2024-05-20,2024-05-17,2
PO000142,2024-10-25,S022,P0111,W01,183,175,291.49,3174.59,2024-11-04,2024-11-05,3
PO000143,2025-09-06,S025,P0106,W03,29,27,704.12,656.55,2025-10-02,2025-09-29,0
PO000144,2024-06-08,S017,P0043,W01,96,92,140.11,517.41,2024-07-11,2024-07-17,1
PO000145,2025-11-24,S021,P0058,W04,118,117,769.37,5783.52,2025-12-23,2025-12-22,3
PO000146,2025-03-06,S003,P0033,W01,124,124,891.43,7197.97,2025-03-22,2025-03-19,1
PO000147,2025-03-15,S019,P0002,W01,48,47,198.63,317.9,2025-03-22,2025-03-21,1
PO000148,2024-08-19,S021,P0038,W02,11,11,498.47,306.09,2024-09-17,2024-09-14,0
PO000149,2025-11-03,S018,P0013,W03,11,9,87.55,68.96,2025-11-19,2025-11-16,0
PO000150,2024-01-27,S015,P0044,W03,198,191,529.9,6205.0,2024-02-13,2024-02-15,1
PO000151,2024-08-06,S023,P0007,W01,138,132,722.53,3938.22,2024-08-25,2024-08-22,0
PO000152,2024-11-01,S017,P0039,W02,216,211,421.45,4106.55,2024-12-04,2024-12-16,12
PO000153,2024-12-14,S022,P0086,W01,189,186,176.87,2040.3,2024-12-24,2024-12-21,2
PO000154,2024-12-12,S005,P0102,W04,55,54,555.41,512.81,2025-01-01,2024-12-29,3
PO000155,2024-04-18,S017,P0107,W02,24,24,131.46,212.59,2024-05-21,2024-06-04,0
PO000156,2024-06-13,S011,P0068,W01,146,142,942.82,3286.87,2024-07-16,2024-07-13,2
PO000157,2024-03-10,S022,P0066,W01,53,53,50.31,182.21,2024-03-20,2024-03-26,0
PO000158,2025-02-22,S023,P0117,W04,150,146,31.42,351.52,2025-03-13,2025-03-10,2
PO000159,2024-09-13,S022,P0067,W03,213,210,417.86,1607.79,2024-09-23,2024-09-21,1
PO000160,2025-02-17,S006,P0011,W02,212,209,558.22,8605.99,2025-02-23,2025-02-25,4
PO000161,2025-03-07,S013,P0113,W01,59,58,632.42,1067.9,2025-03-23,2025-03-24,1
PO000162,2025-05-28,S001,P0074,W03,109,106,305.61,1430.27,2025-06-25,2025-06-24,5
PO000163,2025-02-03,S025,P0080,W01,157,152,255.24,799.63,2025-03-01,2025-02-26,1
PO000164,2025-04-18,S007,P0012,W03,56,55,620.16,1004.94,2025-05-09,2025-05-06,1
PO000165,2025-03-05,S016,P0057,W04,126,120,789.66,2952.58,2025-03-20,2025-03-17,1
PO000166,2025-04-21,S013,P0056,W02,82,82,357.41,766.84,2025-05-07,2025-05-12,0
PO000167,2025-03-26,S023,P0098,W02,128,122,646.35,5439.76,2025-04-14,2025-04-20,3
PO000168,2024-08-19,S021,P0046,W01,142,138,641.25,6699.83,2024-09-17,2024-09-16,4
PO000169,2024-06-29,S020,P0042,W02,193,189,852.18,5476.96,2024-07-18,2024-07-15,2
PO000170,2025-07-29,S017,P0082,W02,106,102,234.99,1478.12,2025-08-31,2025-09-03,6
PO000171,2024-09-07,S003,P0002,W02,66,64,198.63,316.08,2024-09-23,2024-09-20,1
PO000172,2025-02-05,S023,P0090,W03,22,21,300.32,473.9,2025-02-24,2025-02-21,0
PO000173,2024-05-23,S002,P0001,W02,155,154,437.34,3853.16,2024-06-03,2024-05-31,1
PO000174,2024-11-11,S012,P0029,W01,178,175,745.34,7560.62,2024-12-09,2024-12-12,4
PO000175,2025-01-22,S010,P0060,W01,93,91,905.63,2509.98,2025-02-17,2025-02-16,1
PO000176,2025-04-02,S010,P0024,W01,190,185,334.75,2957.52,2025-04-28,2025-05-04,2
PO000177,2025-01-19,S025,P0005,W03,106,102,174.52,729.36,2025-02-14,2025-02-11,0
PO000178,2024-09-20,S006,P0051,W01,107,106,109.49,785.82,2024-09-26,2024-09-25,3
PO000179,2025-12-04,S015,P0085,W01,14,13,152.39,116.02,2025-12-21,2025-12-25,0
PO000180,2025-01-09,S006,P0030,W03,117,114,85.93,319.56,2025-01-15,2025-01-18,2
PO000181,2025-08-13,S023,P0033,W02,132,128,891.43,2498.39,2025-09-01,2025-08-29,0
PO000182,2025-06-22,S019,P0082,W03,110,108,234.99,1639.5,2025-06-29,2025-06-29,0
PO000183,2025-02-12,S011,P0114,W01,120,119,908.2,2064.89,2025-03-17,2025-03-16,1
PO000184,2025-10-09,S003,P0063,W01,118,115,249.12,1255.68,2025-10-25,2025-10-27,1
PO000185,2024-04-03,S004,P0068,W01,155,152,942.82,7876.59,2024-04-22,2024-04-29,0
PO000186,2025-11-04,S007,P0100,W01,27,27,484.96,668.48,2025-11-25,2025-12-04,0
PO000187,2025-09-13,S011,P0008,W01,119,115,685.73,1809.18,2025-10-16,2025-10-13,2
PO000188,2025-01-03,S023,P0118,W04,98,97,531.0,2802.12,2025-01-22,2025-01-19,0
PO000189,2025-06-20,S003,P0058,W01,79,74,769.37,1787.78,2025-07-06,2025-07-03,3
PO000190,2025-01-15,S015,P0046,W02,101,99,641.25,3135.18,2025-02-01,2025-01-29,3
PO000191,2024-07-15,S009,P0075,W01,151,145,735.24,3321.38,2024-08-12,2024-08-20,7
PO000192,2025-08-07,S002,P0110,W04,219,214,382.52,3201.66,2025-08-18,2025-08-15,4
PO000193,2024-06-28,S016,P0113,W01,52,50,632.42,1965.47,2024-07-13,2024-07-16,0
PO000194,2024-08-17,S018,P0094,W01,15,15,143.55,65.06,2024-09-02,2024-08-31,0
PO000195,2025-01-14,S024,P0059,W01,80,77,306.74,1622.82,2025-01-23,2025-01-21,1
PO000196,2025-09-04,S013,P0018,W03,72,71,144.14,438.21,2025-09-20,2025-09-17,2
PO000197,2024-10-07,S009,P0023,W02,19,18,555.36,786.55,2024-11-04,2024-11-22,1
PO000198,2024-12-27,S022,P0101,W04,111,109,662.0,3792.61,2025-01-06,2025-01-06,0
PO000199,2024-01-31,S007,P0016,W01,116,114,473.34,1350.37,2024-02-21,2024-02-27,2
PO000200,2024-03-25,S018,P0058,W01,187,181,769.37,8622.72,2024-04-10,2024-04-07,3
PO000201,2024-02-10,S024,P0049,W02,155,153,692.83,5544.13,2024-02-19,2024-02-21,1
PO000202,2024-02-22,S001,P0086,W03,104,100,176.87,406.59,2024-03-21,2024-03-18,2
PO000203,2025-09-26,S024,P0042,W02,146,137,852.18,2376.93,2025-10-05,2025-10-12,2
PO000204,2025-09-07,S006,P0085,W01,67,66,152.39,658.36,2025-09-13,2025-09-17,0
PO000205,2025-08-23,S013,P0061,W03,38,37,282.04,474.22,2025-09-08,2025-09-10,0
PO000206,2024-02-10,S007,P0107,W03,120,115,131.46,893.25,2024-03-02,2024-02-28,2
PO000207,2024-02-26,S004,P0023,W04,111,106,555.36,2777.65,2024-03-16,2024-04-02,2
PO000208,2024-07-24,S018,P0092,W01,68,65,923.46,4060.44,2024-08-09,2024-08-17,0
PO000209,2025-02-17,S013,P0087,W02,198,194,572.62,2797.82,2025-03-05,2025-03-02,2
PO000210,2024-09-01,S013,P0099,W01,122,119,122.77,324.45,2024-09-17,2024-09-16,0
PO000211,2024-12-22,S013,P0059,W01,127,123,306.74,1494.03,2025-01-07,2025-01-12,5
PO000212,2024-05-06,S019,P0039,W02,153,148,421.45,2977.6,2024-05-13,2024-05-10,2
PO000213,2025-06-18,S025,P0063,W01,67,65,249.12,870.94,2025-07-14,2025-07-18,1
PO000214,2024-08-17,S013,P0117,W01,119,114,31.42,109.05,2024-09-02,2024-09-05,0
PO000215,2024-02-18,S004,P0024,W02,197,191,334.75,3987.62,2024-03-08,2024-03-12,2
PO000216,2025-06-26,S009,P0080,W02,136,132,255.24,2052.25,2025-07-24,2025-07-21,13
PO000217,2025-10-21,S013,P0027,W02,188,184,910.96,7612.08,2025-11-06,2025-11-08,4
PO000218,2024-01-11,S003,P0093,W01,13,13,479.7,270.2,2024-01-27,2024-01-24,0
PO000219,2024-11-15,S006,P0051,W03,159,157,109.49,1011.06,2024-11-21,2024-11-18,4
PO000220,2025-08-27,S006,P0104,W03,146,145,765.49,8364.61,2025-09-02,2025-09-02,2
PO000221,2025-05-31,S025,P0020,W01,198,195,561.56,4192.78,2025-06-26,2025-07-01,3
PO000222,2025-09-18,S011,P0015,W01,213,209,47.2,316.25,2025-10-21,2025-10-18,2
PO000223,2024-10-30,S022,P0115,W04,34,32,277.83,414.01,2024-11-09,2024-11-15,1
PO000224,2024-09-29,S014,P0041,W04,110,108,786.37,2573.12,2024-11-02,2024-11-03,2
PO000225,2025-06-02,S013,P0011,W01,205,202,558.22,2127.72,2025-06-18,2025-06-15,1
PO000226,2024-04-22,S024,P0101,W03,177,171,662.0,8459.07,2024-05-01,2024-04-28,5
PO000227,2024-06-24,S018,P0050,W01,26,25,732.07,687.72,2024-07-10,2024-07-13,0
PO000228,2025-03-15,S006,P0111,W02,123,118,291.49,1636.22,2025-03-21,2025-03-18,3
PO000229,2025-05-03,S008,P0053,W03,79,77,224.86,376.3,2025-05-12,2025-05-14,3
PO000230,2024-03-28,S017,P0091,W03,156,152,740.32,6830.61,2024-04-30,2024-05-05,7
PO000231,2025-01-06,S001,P0070,W01,115,114,713.19,3596.03,2025-02-03,2025-02-05,4
PO000232,2024-09-23,S004,P0058,W01,71,68,769.37,1402.1,2024-10-12,2024-10-21,2
PO000233,2025-01-01,S002,P0059,W03,94,92,306.74,889.76,2025-01-12,2025-01-09,2
PO000234,2025-12-01,S018,P0031,W03,212,206,466.43,5137.64,2025-12-17,2025-12-20,1
PO000235,2024-02-26,S012,P0089,W03,83,79,193.04,1069.22,2024-03-25,2024-03-22,1
PO000236,2025-12-28,S001,P0064,W04,51,50,889.75,975.02,2026-01-25,2026-01-22,0
PO000237,2024-11-24,S019,P0001,W01,29,27,437.34,333.64,2024-12-01,2024-11-29,1
PO000238,2025-07-18,S017,P0048,W01,39,38,629.18,1638.83,2025-08-20,2025-09-02,2
PO000239,2024-11-06,S018,P0049,W04,16,16,692.83,653.32,2024-11-22,2024-11-19,0
PO000240,2024-08-15,S005,P0107,W02,14,14,131.46,129.97,2024-09-04,2024-09-02,0
PO000241,2025-07-17,S022,P0052,W03,119,118,870.88,2533.95,2025-07-27,2025-07-27,4
PO000242,2025-05-17,S005,P0069,W01,121,117,847.96,5575.98,2025-06-06,2025-06-05,2
PO000243,2024-04-15,S015,P0010,W01,176,172,598.92,3048.37,2024-05-02,2024-04-30,2
PO000244,2025-05-30,S014,P0048,W04,138,136,629.18,2878.48,2025-07-03,2025-06-30,3
PO000245,2025-07-04,S006,P0035,W03,46,44,454.03,988.49,2025-07-10,2025-07-07,0
PO000246,2024-10-10,S010,P0060,W03,144,140,905.63,4949.48,2024-11-05,2024-11-10,3
PO000247,2025-11-07,S002,P0108,W02,100,98,124.58,611.25,2025-11-18,2025-11-15,2
PO000248,2025-04-13,S012,P0113,W01,42,40,632.42,1009.96,2025-05-11,2025-05-08,0
PO000249,2024-08-31,S017,P0035,W04,144,140,454.03,3932.82,2024-10-03,2024-10-12,4
PO000250,2024-01-08,S008,P0074,W01,145,145,305.61,1292.1,2024-01-17,2024-01-22,2
PO000251,2025-05-08,S014,P0115,W04,95,89,277.83,510.44,2025-06-11,2025-06-08,2
PO000252,2024-06-01,S024,P0028,W01,40,39,462.33,1147.12,2024-06-10,2024-06-15,0
PO000253,2025-07-07,S006,P0053,W04,11,11,224.86,169.85,2025-07-13,2025-07-14,1
PO000254,2025-01-18,S008,P0061,W01,167,164,282.04,3032.36,2025-01-27,2025-01-24,2
PO000255,2024-12-07,S003,P0001,W01,38,38,437.34,695.32,2024-12-23,2024-12-20,1
PO000256,2024-04-29,S014,P0056,W01,64,64,357.41,952.48,2024-06-02,2024-05-30,0
PO000257,2025-06-04,S006,P0015,W01,150,146,47.2,237.37,2025-06-10,2025-06-09,2
PO000258,2024-05-01,S022,P0038,W03,95,93,498.47,2037.85,2024-05-11,2024-05-08,4
PO000259,2024-11-01,S008,P0014,W02,181,180,399.69,1235.66,2024-11-10,2024-11-16,2
PO000260,2025-09-03,S017,P0089,W01,83,80,193.04,884.57,2025-10-06,2025-10-17,6
PO000261,2025-11-03,S005,P0101,W01,196,191,662.0,7421.73,2025-11-23,2025-11-20,4
PO000262,2025-12-24,S009,P0033,W01,84,82,891.43,4797.56,2026-01-21,2026-01-23,4
PO000263,2025-12-01,S005,P0005,W04,22,22,174.52,206.4,2025-12-21,2025-12-24,1
PO000264,2025-02-10,S014,P0060,W02,160,156,905.63,3719.38,2025-03-16,2025-03-13,2
PO000265,2024-05-26,S001,P0014,W03,146,143,399.69,3880.9,2024-06-23,2024-06-20,1
PO000266,2025-09-05,S003,P0053,W01,219,215,224.86,1847.41,2025-09-21,2025-09-22,4
PO000267,2025-08-08,S013,P0066,W04,26,24,50.31,69.83,2025-08-24,,0
PO000268,2025-12-24,S014,P0057,W01,118,114,789.66,2591.4,2026-01-27,2026-01-24,3
PO000269,2025-04-20,S009,P0063,W01,157,153,249.12,1548.37,2025-05-18,2025-05-15,5
PO000270,2024-04-13,S011,P0069,W02,91,90,847.96,4069.83,2024-05-16,2024-05-13,3
PO000271,2025-01-02,S011,P0020,W01,61,61,561.56,1862.43,2025-02-04,2025-02-01,1
PO000272,2024-11-23,S019,P0082,W03,68,65,234.99,531.06,2024-11-30,2024-11-30,1
PO000273,2025-09-08,S012,P0081,W04,7,7,890.48,316.81,2025-10-06,2025-10-04,1
